iter	Passed	Remaining
0	1	188
1	3	168
2	4	148
3	5	137
4	7	133
5	8	127
6	9	124
7	10	122
8	11	119
9	12	116
10	14	114
11	15	112
12	16	110
13	17	107
14	18	107
15	20	105
16	21	103
17	22	101
18	23	100
19	24	98
20	25	97
21	27	96
22	28	95
23	29	94
24	30	92
25	32	91
26	33	89
27	34	88
28	35	87
29	36	86
30	38	84
31	39	83
32	40	81
33	41	80
34	42	78
35	43	77
36	44	75
37	45	74
38	46	73
39	47	71
40	48	70
41	49	67
42	50	66
43	51	65
44	52	63
45	53	62
46	54	61
47	55	59
48	56	58
49	57	57
50	58	55
51	59	54
52	60	53
53	61	52
54	61	50
55	62	49
56	63	47
57	63	46
58	64	45
59	65	43
60	66	42
61	67	41
62	68	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	33
68	72	32
69	73	31
70	74	30
71	75	29
72	75	28
73	76	26
74	77	25
75	78	24
76	79	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	91	6
93	92	5
94	93	4
95	94	3
96	94	2
97	95	1
98	96	0
99	97	0
